state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXO..X.OX,OXO..X..X,X,6,0.3333333333,0.0,0.0,-0.3333333333,0.6666666667,0.3333333334
OXO..X..X,OXO.....X,O,5,0.3333333333,-0.2,0.3333333333,0.16666666659999999,0.3333333333,0.03333333329999999
OXOO..XXX,OXOO..X.X,O,7,1.0,0.33333333330000003,0.0,0.0,0.0,-0.3333333333
OXOO..X.X,OXO...X.X,X,6,0.6666666667,0.16666666669999997,0.0,0.0,0.3333333333,-0.16666666670000002
OXO.O.XXX,OXO.O.X.X,O,7,1.0,0.33333333330000003,0.0,0.0,0.0,-0.3333333333
OXO.O.X.X,OXO...X.X,X,6,0.6666666667,0.16666666669999997,0.0,0.0,0.3333333333,-0.16666666670000002
OXO..OXXX,OXO..OX.X,O,7,1.0,0.33333333330000003,0.0,0.0,0.0,-0.3333333333
OXO..OX.X,OXO...X.X,X,6,0.6666666667,0.16666666669999997,0.0,0.0,0.3333333333,-0.16666666670000002
OXO...XOX,OXO...X.X,X,6,0.0,-0.5,0.0,0.0,1.0,0.5
OXO...X.X,OXO.....X,O,5,0.5,-0.03333333329999999,0.0,-0.1666666667,0.5,0.2
OXOO...XX,OXO....XX,X,6,0.8333333333,0.08333333330000003,0.1666666667,-0.0833333333,0.0,0.0
OXO.O..XX,OXO....XX,X,6,0.6666666667,-0.08333333330000003,0.3333333333,0.08333333329999998,0.0,0.0
OXO..O.XX,OXO....XX,X,6,1.0,0.25,0.0,-0.25,0.0,0.0
OXO...OXX,OXO....XX,X,6,0.5,-0.25,0.5,0.25,0.0,0.0
OXO....XX,OXO.....X,O,5,0.75,0.2166666667,0.25,0.0833333333,0.0,-0.3
OXO.....X,OX......X,X,4,0.5333333333,0.07222222219999996,0.1666666667,-0.07222222220000002,0.3,0.0
OXXOOX..X,OXXOO...X,O,7,1.0,0.5,0.0,-0.5,0.0,0.0
OXXOOOX.X,OXXOO.X.X,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOOXXOX,OXXOO.XOX,O,9,1.0,0.0,0.0,0.0,0.0,0.0
